The lenght of the chain is 1000,  the number of binders is  [1000, 1000, 1000, 1000],  the nucleus radius is 20, the number of steps is 5000, bsites regular_bsites_H3K27Me3_L2_5kbp_1000.txt,regular_Insul_5.0kbp_2L_1000.txt,regular_PolII_1620_CS_5kbp_1000.txt,GSE22069_Black_5.0kbp_4andMore.txt, lamin 
initialization: 0.179418
iter, step, Energy, R_gyr
Starting energy: 231.000000
99, 100, 233, 15.157797
200, 200, 233, 15.157717
301, 300, 233, 15.158304
401, 400, 234, 15.159819
502, 500, 237, 15.160876
603, 600, 238, 15.163177
705, 700, 241, 15.164717
806, 800, 241, 15.164717
907, 900, 243, 15.164779
1009, 1000, 243, 15.164248
1111, 1100, 247, 15.165495
1212, 1200, 252, 15.169048
1313, 1300, 252, 15.169840
1417, 1400, 253, 15.169141
1518, 1500, 255, 15.170336
1618, 1600, 255, 15.170336
1720, 1700, 258, 15.173181
1820, 1800, 257, 15.172692
1921, 1900, 258, 15.172968
2021, 2000, 259, 15.174453
2122, 2100, 261, 15.174542
2225, 2200, 267, 15.175793
2329, 2300, 269, 15.173893
2429, 2400, 270, 15.172934
2530, 2500, 270, 15.174433
2634, 2600, 274, 15.173148
2738, 2700, 274, 15.174862
2839, 2800, 276, 15.173694
2939, 2900, 279, 15.175141
3039, 3000, 280, 15.179588
3141, 3100, 280, 15.180532
3242, 3200, 281, 15.182501
3342, 3300, 283, 15.181003
3444, 3400, 287, 15.180586
3547, 3500, 287, 15.178140
3648, 3600, 286, 15.178672
3751, 3700, 288, 15.180644
3853, 3800, 291, 15.174562
3955, 3900, 292, 15.172225
4057, 4000, 293, 15.172225
4157, 4100, 294, 15.174994
4258, 4200, 293, 15.177815
4360, 4300, 294, 15.177116
4463, 4400, 295, 15.180263
4566, 4500, 296, 15.178729
4668, 4600, 296, 15.180384
4770, 4700, 296, 15.178732
4872, 4800, 298, 15.176838
4974, 4900, 297, 15.175531
metropolis: 174.745709
